ML_away,ML_home,away_score,capture_time,current_line,current_total,event_id,event_status,home_score,minute,period,second
1000.0,-1667.0,,2020-12-18 17:17:50.444108-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-18 17:17:50.444108-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-152.0,135.0,,2020-12-18 17:17:50.444108-05:00,3.0,52.0,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-18 17:17:50.444108-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-770.0,575.0,,2020-12-18 17:17:50.444108-05:00,13.0,40.5,176185431,NOT_STARTED,,,,
-235.0,202.0,,2020-12-18 22:19:12.780537-05:00,5.5,49.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-18 22:19:12.780537-05:00,-8.0,51.5,179631780,NOT_STARTED,,,,
-286.0,245.0,,2020-12-18 22:19:12.780537-05:00,6.5,43.5,179631829,NOT_STARTED,,,,
575.0,-770.0,,2020-12-18 22:19:12.780537-05:00,-13.0,48.0,179632598,NOT_STARTED,,,,
295.0,-360.0,,2020-12-18 22:19:12.780537-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
-275.0,235.0,,2020-12-18 22:19:12.780537-05:00,6.0,48.5,179631782,NOT_STARTED,,,,
100.0,-114.0,,2020-12-18 22:19:12.780537-05:00,-1.0,41.5,176185664,NOT_STARTED,,,,
500.0,-670.0,,2020-12-18 22:19:12.780537-05:00,-11.5,51.5,179633751,NOT_STARTED,,,,
130.0,-150.0,,2020-12-18 22:19:12.780537-05:00,-2.5,46.5,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-18 22:19:12.780537-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-18 22:19:12.780537-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-18 22:19:12.780537-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-152.0,135.0,,2020-12-18 22:19:12.780537-05:00,3.0,52.0,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-18 22:19:12.780537-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-770.0,580.0,,2020-12-18 22:19:12.780537-05:00,13.0,40.0,176185431,NOT_STARTED,,,,
-245.0,210.0,,2020-12-19 13:25:32.525547-05:00,5.5,49.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-19 13:25:32.525547-05:00,-8.0,52.0,179631780,NOT_STARTED,,,,
295.0,-360.0,,2020-12-19 13:25:32.525547-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
575.0,-770.0,,2020-12-19 13:25:32.525547-05:00,-12.0,48.0,179632598,NOT_STARTED,,,,
360.0,-435.0,,2020-12-19 13:25:32.525547-05:00,-10.0,52.0,179633751,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 13:25:32.525547-05:00,6.0,43.5,179631829,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 13:25:32.525547-05:00,6.0,48.5,179631782,NOT_STARTED,,,,
107.0,-121.0,,2020-12-19 13:25:32.525547-05:00,-2.0,41.5,176185664,NOT_STARTED,,,,
130.0,-150.0,,2020-12-19 13:25:32.525547-05:00,-2.5,46.5,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-19 13:25:32.525547-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-19 13:25:32.525547-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-19 13:25:32.525547-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-167.0,145.0,,2020-12-19 13:25:32.525547-05:00,3.0,52.0,176073583,NOT_STARTED,,,,
-835.0,625.0,,2020-12-19 13:25:32.525547-05:00,14.0,40.0,176185431,NOT_STARTED,,,,
-245.0,210.0,,2020-12-19 15:10:44.931500-05:00,6.0,48.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-19 15:10:44.931500-05:00,-8.0,52.0,179631780,NOT_STARTED,,,,
295.0,-360.0,,2020-12-19 15:10:44.931500-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
575.0,-770.0,,2020-12-19 15:10:44.931500-05:00,-12.0,48.0,179632598,NOT_STARTED,,,,
360.0,-435.0,,2020-12-19 15:10:44.931500-05:00,-9.0,52.5,179633751,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 15:10:44.931500-05:00,6.0,43.5,179631829,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 15:10:44.931500-05:00,6.0,49.0,179631782,NOT_STARTED,,,,
107.0,-121.0,,2020-12-19 15:10:44.931500-05:00,-1.5,42.0,176185664,NOT_STARTED,,,,
130.0,-150.0,,2020-12-19 15:10:44.931500-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-19 15:10:44.931500-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-19 15:10:44.931500-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-19 15:10:44.931500-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-167.0,145.0,,2020-12-19 15:10:44.931500-05:00,3.0,52.5,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-19 15:10:44.931500-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-835.0,625.0,,2020-12-19 15:10:44.931500-05:00,14.0,40.0,176185431,NOT_STARTED,,,,
-245.0,210.0,,2020-12-19 15:25:59.229907-05:00,6.0,48.0,176121455,NOT_STARTED,,,,
330.0,-400.0,,2020-12-19 15:25:59.229907-05:00,-8.0,52.0,179631780,NOT_STARTED,,,,
295.0,-360.0,,2020-12-19 15:25:59.229907-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
575.0,-770.0,,2020-12-19 15:25:59.229907-05:00,-12.0,48.0,179632598,NOT_STARTED,,,,
360.0,-435.0,,2020-12-19 15:25:59.229907-05:00,-9.0,52.5,179633751,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 15:25:59.229907-05:00,6.0,43.5,179631829,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 15:25:59.229907-05:00,6.0,49.0,179631782,NOT_STARTED,,,,
107.0,-121.0,,2020-12-19 15:25:59.229907-05:00,-2.0,41.5,176185664,NOT_STARTED,,,,
130.0,-150.0,,2020-12-19 15:25:59.229907-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-19 15:25:59.229907-05:00,3.0,45.0,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-19 15:25:59.229907-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-19 15:25:59.229907-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-167.0,145.0,,2020-12-19 15:25:59.229907-05:00,3.0,52.5,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-19 15:25:59.229907-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-835.0,625.0,,2020-12-19 15:25:59.229907-05:00,14.0,40.0,176185431,NOT_STARTED,,,,
-315.0,245.0,,2020-12-19 16:39:13.857719-05:00,7.5,45.5,176121455,STARTED,,,,
330.0,-400.0,,2020-12-19 16:39:13.857719-05:00,-8.0,52.0,179631780,NOT_STARTED,,,,
295.0,-360.0,,2020-12-19 16:39:13.857719-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
575.0,-770.0,,2020-12-19 16:39:13.857719-05:00,-12.0,48.0,179632598,NOT_STARTED,,,,
360.0,-435.0,,2020-12-19 16:39:13.857719-05:00,-9.0,52.5,179633751,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 16:39:13.857719-05:00,6.0,43.5,179631829,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 16:39:13.857719-05:00,6.0,49.0,179631782,NOT_STARTED,,,,
107.0,-121.0,,2020-12-19 16:39:13.857719-05:00,-2.0,42.0,176185664,NOT_STARTED,,,,
130.0,-150.0,,2020-12-19 16:39:13.857719-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-19 16:39:13.857719-05:00,3.0,44.5,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-19 16:39:13.857719-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-19 16:39:13.857719-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-167.0,145.0,,2020-12-19 16:39:13.857719-05:00,3.0,52.5,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-19 16:39:13.857719-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-835.0,625.0,,2020-12-19 16:39:13.857719-05:00,14.0,40.0,176185431,NOT_STARTED,,,,
-530.0,360.0,,2020-12-19 17:07:49.267114-05:00,10.0,44.0,176121455,STARTED,,,,
330.0,-400.0,,2020-12-19 17:07:49.267114-05:00,-8.0,52.0,179631780,NOT_STARTED,,,,
295.0,-360.0,,2020-12-19 17:07:49.267114-05:00,-7.5,51.5,175321939,NOT_STARTED,,,,
575.0,-770.0,,2020-12-19 17:07:49.267114-05:00,-12.0,48.0,179632598,NOT_STARTED,,,,
360.0,-435.0,,2020-12-19 17:07:49.267114-05:00,-9.0,52.5,179633751,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 17:07:49.267114-05:00,6.0,43.5,179631829,NOT_STARTED,,,,
-275.0,230.0,,2020-12-19 17:07:49.267114-05:00,6.0,49.0,179631782,NOT_STARTED,,,,
107.0,-121.0,,2020-12-19 17:07:49.267114-05:00,-2.0,42.0,176185664,NOT_STARTED,,,,
130.0,-150.0,,2020-12-19 17:07:49.267114-05:00,-3.0,47.0,179631818,NOT_STARTED,,,,
-155.0,133.0,,2020-12-19 17:07:49.267114-05:00,3.0,44.5,179631798,NOT_STARTED,,,,
1000.0,-1667.0,,2020-12-19 17:07:49.267114-05:00,-17.5,43.5,175163786,NOT_STARTED,,,,
230.0,-275.0,,2020-12-19 17:07:49.267114-05:00,-6.0,49.0,175163782,NOT_STARTED,,,,
-167.0,145.0,,2020-12-19 17:07:49.267114-05:00,3.0,52.5,176073583,NOT_STARTED,,,,
-278.0,240.0,,2020-12-19 17:07:49.267114-05:00,6.5,44.0,175163815,NOT_STARTED,,,,
-835.0,625.0,,2020-12-19 17:07:49.267114-05:00,14.0,40.0,176185431,NOT_STARTED,,,,
750.0,-1667.0,,2020-12-20 13:48:01.952919-05:00,-15.0,62.0,179633751,STARTED,,,,
-385.0,280.0,,2020-12-20 13:48:01.952919-05:00,8.0,38.0,179631829,STARTED,,,,
