event_id,event_start,implied_probability_away,ML_away,away_team,current_line,current_total,home_team,ML_home,implied_probability_home,line_change,total_change,event_status,opening_line,closing_line,opening_total,closing_total,opening_ML_away,closing_ML_away,opening_ML_home,closing_ML_home,opening_capture_time,closing_capture_time,countdown,capture_time
179639406,2020-12-29 21:00:00-05:00,0.8,-400.0,Texas,12.5,64.5,Colorado,310.0,0.24,0.0,0.0,NOT_STARTED,12.5,,64.5,,-400.0,,310.0,,2020-12-20 18:30:17.574869-05:00,,8 days 23:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639407,2020-12-30 12:00:00-05:00,0.35,185.0,Wake Forest,-6.5,55.5,Wisconsin,-235.0,0.7,0.0,0.0,NOT_STARTED,-6.5,,55.5,,185.0,,-235.0,,2020-12-20 18:30:17.574869-05:00,,9 days 14:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639408,2020-12-30 16:00:00-05:00,0.2,390.0,Missouri,-13.5,52.5,Iowa,-530.0,0.84,0.0,0.0,NOT_STARTED,-13.5,,52.5,,390.0,,-530.0,,2020-12-20 18:35:16.005762-05:00,,9 days 18:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639409,2020-12-30 20:00:00-05:00,0.56,-127.0,Florida,2.5,68.5,Oklahoma,104.0,0.49,0.0,0.0,NOT_STARTED,2.5,,68.5,,-127.0,,104.0,,2020-12-20 18:35:16.005762-05:00,,9 days 22:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639413,2020-12-31 12:00:00-05:00,0.5,100.0,Mississippi State,-1.5,49.5,Tulsa,-121.0,0.55,0.0,0.0,NOT_STARTED,-1.5,,49.5,,100.0,,-121.0,,2020-12-20 18:42:27.676572-05:00,,10 days 14:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639417,2020-12-31 14:00:00-05:00,0.36,175.0,Ball State,-6.5,64.5,San José State,-215.0,0.68,0.0,0.0,NOT_STARTED,-6.5,,64.5,,175.0,,-215.0,,2020-12-20 18:42:27.676572-05:00,,10 days 16:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639422,2020-12-31 16:00:00-05:00,0.64,-175.0,West Virginia,3.5,44.5,Tennessee,140.0,0.42,0.0,0.0,NOT_STARTED,3.5,,44.5,,-175.0,,140.0,,2020-12-20 18:50:15.556868-05:00,,10 days 18:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639425,2020-12-31 20:00:00-05:00,0.4,148.0,Arkansas,-4.5,57.5,TCU,-182.0,0.65,0.0,0.0,NOT_STARTED,-4.5,,57.5,,148.0,,-182.0,,2020-12-20 18:56:41.274429-05:00,,10 days 22:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639427,2021-01-01 12:00:00-05:00,0.71,-240.0,Georgia,6.5,49.5,Cincinnati,190.0,0.34,0.0,0.0,NOT_STARTED,6.5,,49.5,,-240.0,,190.0,,2020-12-20 18:56:41.274429-05:00,,11 days 14:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639428,2021-01-01 13:00:00-05:00,0.44,128.0,Auburn,-3.5,45.5,Northwestern,-157.0,0.61,0.0,0.0,NOT_STARTED,-3.5,,45.5,,128.0,,-157.0,,2020-12-20 19:00:57.056841-05:00,,11 days 15:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639486,2021-01-02 12:00:00-05:00,0.6,-148.0,Kentucky,3.5,51.5,NC State,120.0,0.45,0.0,0.0,NOT_STARTED,3.5,,51.5,,-148.0,,120.0,,2020-12-20 19:50:21.602121-05:00,,12 days 14:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639487,2021-01-02 12:30:00-05:00,0.36,180.0,Ole Miss,-7.5,69.5,Indiana,-225.0,0.69,0.0,0.0,NOT_STARTED,-7.5,,69.5,,180.0,,-225.0,,2020-12-20 19:50:21.602121-05:00,,12 days 15:14:28.772544,2020-12-20 21:15:31.227456-05:00
179639488,2021-01-02 16:00:00-05:00,0.43,130.0,Oregon,-3.5,56.5,Iowa State,-157.0,0.61,0.0,0.0,NOT_STARTED,-3.5,,56.5,,130.0,,-157.0,,2020-12-20 19:55:22.492519-05:00,,12 days 18:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639489,2021-01-02 20:00:00-05:00,0.64,-180.0,Texas A&M,5.5,69.5,North Carolina,145.0,0.41,0.0,0.0,NOT_STARTED,5.5,,69.5,,-180.0,,145.0,,2020-12-20 19:55:22.492519-05:00,,12 days 22:44:28.772544,2020-12-20 21:15:31.227456-05:00
179639536,2020-12-26 12:00:00-05:00,0.41,145.0,South Carolina,-3.5,45.5,UAB,-180.0,0.64,0.0,0.0,NOT_STARTED,-3.5,,45.5,,145.0,,-180.0,,2020-12-20 20:50:34.842072-05:00,,5 days 14:44:28.772544,2020-12-20 21:15:31.227456-05:00
